academic_confidence,ambiguity_flag,career_priorities,constraints,curriculum_type,dataset_version,expected_prodi,free_text_goal_keywords,interest_deep_dive,interests,prodi_to_avoid,quality_flag,sample_id,score_advanced_math,score_anthropology,score_arts,score_bahasa,score_biology,score_chemistry,score_civics,score_economics,score_english,score_foreign_language,score_geography,score_history,score_indonesian,score_informatics,score_kesehatan,score_math,score_olahraga,score_paling_banyak_1_mata_pelajaran_pendukung_yang_relevan_dengan_program_studi_kependidikannya,score_pattern,score_pendidikan_jasmani,score_physics,score_pjok,score_religion,score_sastra_inggris,score_sociology,sma_track,source_type,target_cluster,target_kelompok_prodi,target_prodi,target_prodi_id,work_style
creative/art,False,remote/digital work|public service,lab-heavy,K13 Bahasa,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,balanced_high,S00001,,79,91,,,86,98,,72,87,85,74,79,100,,85,,,several strong subjects,,84,90,88,,81,Merdeka,synthetic_v2,Ilmu Terapan,Logistik,Logistik,P0212,lab work
balanced,False,high salary potential|helping people,practical/project-heavy,K13 Bahasa,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,balanced_high,S00002,91,82,81,,96,92,89,,89,100,83,85,86,70,,90,,,several strong subjects,,89,96,85,,82,Bahasa,synthetic_v2,Ilmu Terapan,Arsitektur,Arsitektur Interior,P0175,field work
language/writing,False,public service|remote/digital work,balanced,K13 IPA,apti_dataset_v2,,Engineer Project Engineer,engineering|environment_field|hands_on|health_life_science|research_analysis,Engineering|Environment|Health,none,standard,S00003,83,,83,,72,,100,87,87,77,92,63,86,78,,77,,,several strong subjects,,,65,63,,74,IPA,synthetic_v2,Ilmu Alam,Ilmu atau Sains Kebumian,Teknik Geofisika,P0093,teamwork
numbers/calculation,False,helping people|stable career,theory-heavy,Kurikulum Merdeka,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S00004,76,73,86,,81,85,83,85,76,66,,94,74,,,75,,,several strong subjects,,85,63,77,,,IPA,synthetic_v2,Ilmu Terapan,Ilmu atau Sains Akuntansi,Akuntansi Perpajakan,P0193,independent
social/human,False,research/innovation|high salary potential,field-heavy,K13 IPA,apti_dataset_v2,Psikologi,HR Specialist Counselor Assistant,communication_media|education|helping_people|social_law_public|social_psychology,Media|Psychology,none,focused_average,S00005,79,78,81,,73,78,70,63,76,70,74,,61,78,,85,,,several strong subjects,,67,69,83,,87,IPA,synthetic_v2,Ilmu Sosial,Psikologi,Psikologi,P0081,field work
balanced,True,high salary potential|helping people,field-heavy,K13 IPS,apti_dataset_v2,,Teacher Curriculum Developer,education_teaching|engineering|hands_on|helping_people|technology_digital,Education|Engineering|Social|Technology,none,balanced_high,S00006,79,,81,,97,,80,90,97,82,88,94,83,,,84,,100,balanced,,,73,98,,92,IPA,synthetic_v2,Ilmu Terapan,Pendidikan,Pendidikan Agama Islam,P0274,lab work
numbers/calculation,False,remote/digital work|research/innovation,lab-heavy,K13 Bahasa,apti_dataset_v2,,Software Engineer Backend Developer,engineering|hands_on|tech_software|technology_digital,Engineering|Technology,none,standard,S00007,,84,68,,78,75,80,68,67,59,64,68,71,69,,64,,,several strong subjects,,75,61,73,,,IPS,synthetic_v2,Ilmu Terapan,"Bioteknologi, Biokewirausahaan, Bioinformatika",Teknologi Bioproses,P0447,independent
balanced,False,helping people|high salary potential,balanced,K13 IPS,apti_dataset_v2,,Research Assistant Lab Analyst,environment_field|health_life_science|research_analysis,Environment|Health,none,standard,S00008,76,77,80,,64,78,72,,72,,67,88,64,59,,77,,,several strong subjects,,86,87,67,,76,Bahasa,synthetic_v2,Ilmu Alam,Astronomi,Astronomi,P0117,teamwork
numbers/calculation,True,public service|helping people,balanced,K13 IPS,apti_dataset_v2,Bioteknologi Pangan,Software Engineer Backend Developer,engineering|hands_on|tech_software|technology_digital,Business|Education|Engineering|Technology,none,standard,S00009,85,,81,,94,75,93,81,78,92,76,97,86,81,,92,,,balanced,,83,76,74,,,Bahasa,synthetic_v2,Ilmu Terapan,"Bioteknologi, Biokewirausahaan, Bioinformatika",Bioteknologi Pangan,P0444,lab work
social/human,False,stable career|research/innovation,field-heavy,Kurikulum Merdeka,apti_dataset_v2,Akuntansi Syariah,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S00010,89,87,84,,78,88,71,95,90,,70,76,84,76,,67,,,several strong subjects,,68,89,77,,,IPA,synthetic_v2,Ilmu Terapan,Ilmu atau Sains Akuntansi,Akuntansi Syariah,P0199,research-focused
